id,username,class,level,hp,inventory
29,fruffeys,Blade Dancer,72,175,"[{'id': 1, 'item_name': 'Carnage of Pride', 'price': 161995, 'rarity': 3, 'type': 'Beer', 'atk': 0, 'def': 0, 'hp_regen': 158}, {'id': 2, 'item_name': 'Extinguish', 'price': 97238, 'rarity': 2, 'type': 'Cape', 'atk': 0, 'def': 176, 'hp_regen': 0}, {'id': 3, 'item_name': '', 'price': 45484, 'rarity': 2, 'type': 'Gem', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 4, 'item_name': 'Rain of Revival', 'price': 51177, 'rarity': 2, 'type': 'Key', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 5, 'item_name': 'Hymn of Water', 'price': 76428, 'rarity': 5, 'type': 'Pizza', 'atk': 0, 'def': 0, 'hp_regen': 241}]"
30,mblinkhornt,Paladin,27,131,"[{'id': 1, 'item_name': 'Elixir', 'price': 9858, 'rarity': 5, 'type': 'Helmet', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Extortion of Vulnerabilities', 'price': 48621, 'rarity': 2, 'type': 'Helmet', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
31,nsaladinu,Pirate,19,131,"[{'id': 1, 'item_name': 'Energy Typhoon', 'price': 139292, 'rarity': 2, 'type': 'Bow', 'atk': 121, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Stone Arm', 'price': 146983, 'rarity': 5, 'type': 'Gem', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Lapis', 'price': 159148, 'rarity': 1, 'type': 'Pizza', 'atk': 0, 'def': 0, 'hp_regen': 182}]"
32,ldiprosev,Pirate,41,246,"[{'id': 1, 'item_name': 'Seed', 'price': 105590, 'rarity': 3, 'type': 'Cape', 'atk': 0, 'def': 18, 'hp_regen': 0}]"
33,kitzhakiw,Necromancer,49,217,"[{'id': 1, 'item_name': 'Lapis', 'price': 161237, 'rarity': 2, 'type': 'Gem', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
34,btrettx,Paladin,69,80,"[{'id': 1, 'item_name': 'Silver Sword', 'price': 153033, 'rarity': 5, 'type': 'Beer', 'atk': 0, 'def': 0, 'hp_regen': 132}]"
35,ktarpeyy,Ninja,69,247,"[{'id': 1, 'item_name': 'Paralyzing of Rituals', 'price': 6706, 'rarity': 2, 'type': 'Gem', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
36,jlettz,Bard,20,176,[]
37,hthowless10,Pirate,19,204,"[{'id': 1, 'item_name': 'Prismastone', 'price': 160320, 'rarity': 4, 'type': 'Armor', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Lapis', 'price': 47569, 'rarity': 4, 'type': 'Armor', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Vajra Sword', 'price': 247150, 'rarity': 4, 'type': 'Shield', 'atk': 0, 'def': 206, 'hp_regen': 0}, {'id': 4, 'item_name': 'Mid-Potion', 'price': 125828, 'rarity': 2, 'type': 'Helmet', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
38,leriksson11,Theif,65,194,[]
39,rantrum12,Spellcaster,50,68,"[{'id': 1, 'item_name': 'Sun Stone', 'price': 27034, 'rarity': 5, 'type': 'Armor', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Hymn of Water', 'price': 241754, 'rarity': 2, 'type': 'Sword', 'atk': 35, 'def': 0, 'hp_regen': 0}]"
40,omcilhagga13,Warrior,73,149,"[{'id': 1, 'item_name': 'Extinguish', 'price': 52346, 'rarity': 3, 'type': 'Map', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
41,ibaelde14,Viking,77,172,"[{'id': 1, 'item_name': 'Potion', 'price': 26014, 'rarity': 5, 'type': 'Beer', 'atk': 0, 'def': 0, 'hp_regen': 149}, {'id': 2, 'item_name': 'Mid-Potion', 'price': 138214, 'rarity': 4, 'type': 'Beer', 'atk': 0, 'def': 0, 'hp_regen': 80}, {'id': 3, 'item_name': '', 'price': 212649, 'rarity': 2, 'type': 'Cape', 'atk': 0, 'def': 201, 'hp_regen': 0}, {'id': 4, 'item_name': 'Inferno', 'price': 242399, 'rarity': 4, 'type': 'Cape', 'atk': 0, 'def': 154, 'hp_regen': 0}]"
42,rdoughartie15,Hero,78,52,[]
43,pbrion16,Blade Dancer,74,209,[]
44,lsulter17,Necromancer,75,109,"[{'id': 1, 'item_name': 'Demonic Blitz', 'price': 103926, 'rarity': 1, 'type': 'Shield', 'atk': 0, 'def': 238, 'hp_regen': 0}, {'id': 2, 'item_name': 'Inferno', 'price': 28839, 'rarity': 4, 'type': 'Sword', 'atk': 185, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Rain of Revival', 'price': 136317, 'rarity': 5, 'type': 'Key', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 4, 'item_name': 'Hymn of Water', 'price': 179407, 'rarity': 4, 'type': 'Pizza', 'atk': 0, 'def': 0, 'hp_regen': 246}, {'id': 5, 'item_name': 'Stone Arm', 'price': 194964, 'rarity': 3, 'type': 'Map', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
45,wtynnan18,Druid,71,169,"[{'id': 1, 'item_name': 'Mage Barrage', 'price': 223451, 'rarity': 5, 'type': 'Boots', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Extinguish', 'price': 210366, 'rarity': 3, 'type': 'Shield', 'atk': 0, 'def': 25, 'hp_regen': 0}, {'id': 3, 'item_name': 'Sun Stone', 'price': 55291, 'rarity': 3, 'type': 'Pizza', 'atk': 0, 'def': 0, 'hp_regen': 139}, {'id': 4, 'item_name': 'Mid-Potion', 'price': 216726, 'rarity': 4, 'type': 'Helmet', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
46,fsondland19,Warrior,22,246,"[{'id': 1, 'item_name': 'Barrier Sphere', 'price': 203045, 'rarity': 3, 'type': 'Pizza', 'atk': 0, 'def': 0, 'hp_regen': 22}, {'id': 2, 'item_name': 'Demonic Blitz', 'price': 94616, 'rarity': 4, 'type': 'Key', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
47,nkirkman1a,Pirate,29,128,"[{'id': 1, 'item_name': 'Mop', 'price': 47910, 'rarity': 2, 'type': 'Boots', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Barrier Sphere', 'price': 80015, 'rarity': 1, 'type': 'Boots', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Mage Barrage', 'price': 116884, 'rarity': 3, 'type': 'Spell', 'atk': 236, 'def': 0, 'hp_regen': 0}, {'id': 4, 'item_name': 'Paralyzing of Rituals', 'price': 114830, 'rarity': 4, 'type': 'Spell', 'atk': 166, 'def': 0, 'hp_regen': 0}]"
48,atrudgion1b,Paladin,11,18,"[{'id': 1, 'item_name': 'Mid-Potion', 'price': 230439, 'rarity': 3, 'type': 'Bow', 'atk': 140, 'def': 0, 'hp_regen': 0}]"
49,abowstead1c,Warrior,50,232,"[{'id': 1, 'item_name': 'Elixir', 'price': 228964, 'rarity': 1, 'type': 'Shield', 'atk': 0, 'def': 130, 'hp_regen': 0}, {'id': 2, 'item_name': 'Extinguish', 'price': 198758, 'rarity': 4, 'type': 'Shield', 'atk': 0, 'def': 228, 'hp_regen': 0}]"
50,rmoehle1d,Warlord,39,211,"[{'id': 1, 'item_name': 'Stone Arm', 'price': 84911, 'rarity': 2, 'type': 'Map', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Stone Arm', 'price': 181497, 'rarity': 2, 'type': 'Helmet', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Sun Stone', 'price': 75756, 'rarity': 1, 'type': 'Bow', 'atk': 146, 'def': 0, 'hp_regen': 0}, {'id': 4, 'item_name': 'Hymn of Water', 'price': 50050, 'rarity': 5, 'type': 'Boots', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 5, 'item_name': 'Mop', 'price': 156349, 'rarity': 3, 'type': 'Pizza', 'atk': 0, 'def': 0, 'hp_regen': 139}]"
51,lrickardsson1e,Theif,58,242,"[{'id': 1, 'item_name': 'Lapis', 'price': 157009, 'rarity': 4, 'type': 'Beer', 'atk': 0, 'def': 0, 'hp_regen': 62}]"
52,vbeavis1f,Wizard,73,93,"[{'id': 1, 'item_name': 'Lapis', 'price': 45128, 'rarity': 4, 'type': 'Bow', 'atk': 205, 'def': 0, 'hp_regen': 0}]"
53,denders1g,Pirate,26,190,"[{'id': 1, 'item_name': 'Demonic Blitz', 'price': 47477, 'rarity': 5, 'type': 'Sword', 'atk': 205, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Seed', 'price': 47716, 'rarity': 3, 'type': 'Shield', 'atk': 0, 'def': 27, 'hp_regen': 0}, {'id': 3, 'item_name': 'Extinguish', 'price': 37227, 'rarity': 3, 'type': 'Sword', 'atk': 155, 'def': 0, 'hp_regen': 0}, {'id': 4, 'item_name': 'Demonic Blitz', 'price': 113955, 'rarity': 5, 'type': 'Beer', 'atk': 0, 'def': 0, 'hp_regen': 17}]"
54,kflippelli1h,Bard,65,72,"[{'id': 1, 'item_name': 'Barrier Sphere', 'price': 152750, 'rarity': 3, 'type': 'Spell', 'atk': 21, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Sun Stone', 'price': 153850, 'rarity': 2, 'type': 'Helmet', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Rain of Revival', 'price': 63919, 'rarity': 3, 'type': 'Map', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 4, 'item_name': 'Wooden Sword', 'price': 242297, 'rarity': 4, 'type': 'Armor', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 5, 'item_name': 'Demonic Blitz', 'price': 182910, 'rarity': 5, 'type': 'Map', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
55,ekitchinghan1i,Blade Dancer,43,207,"[{'id': 1, 'item_name': 'Hymn of Water', 'price': 181626, 'rarity': 2, 'type': 'Bow', 'atk': 62, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Hi-Potion', 'price': 74674, 'rarity': 2, 'type': 'Map', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Lapis', 'price': 38415, 'rarity': 2, 'type': 'Key', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
56,ssimmance1j,Blade Dancer,66,103,[]
57,aclemendot1k,Theif,54,182,"[{'id': 1, 'item_name': 'Potion', 'price': 52815, 'rarity': 4, 'type': 'Cape', 'atk': 0, 'def': 95, 'hp_regen': 0}, {'id': 2, 'item_name': 'Hi-Potion', 'price': 84128, 'rarity': 1, 'type': 'Gem', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Barrier Sphere', 'price': 227299, 'rarity': 5, 'type': 'Helmet', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
58,sboulding1l,Necromancer,63,82,"[{'id': 1, 'item_name': 'Seed', 'price': 232377, 'rarity': 5, 'type': 'Shield', 'atk': 0, 'def': 210, 'hp_regen': 0}, {'id': 2, 'item_name': 'Rain of Revival', 'price': 149986, 'rarity': 2, 'type': 'Gem', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Demonic Blitz', 'price': 208567, 'rarity': 1, 'type': 'Sword', 'atk': 112, 'def': 0, 'hp_regen': 0}, {'id': 4, 'item_name': 'Lapis', 'price': 198630, 'rarity': 5, 'type': 'Shield', 'atk': 0, 'def': 68, 'hp_regen': 0}, {'id': 5, 'item_name': 'Elixir', 'price': 114734, 'rarity': 4, 'type': 'Gem', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
59,jpaish1m,Paladin,21,154,[]
60,fberzin1n,Theif,56,25,"[{'id': 1, 'item_name': '', 'price': 49737, 'rarity': 5, 'type': 'Spell', 'atk': 238, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Dinoblade', 'price': 205920, 'rarity': 3, 'type': 'Cape', 'atk': 0, 'def': 151, 'hp_regen': 0}, {'id': 3, 'item_name': '', 'price': 42605, 'rarity': 2, 'type': 'Key', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 4, 'item_name': 'Extortion of Vulnerabilities', 'price': 36581, 'rarity': 5, 'type': 'Beer', 'atk': 0, 'def': 0, 'hp_regen': 78}]"
61,gogavin1o,Theif,43,70,"[{'id': 1, 'item_name': 'Hymn of Water', 'price': 153256, 'rarity': 1, 'type': 'Helmet', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Seed', 'price': 191224, 'rarity': 4, 'type': 'Spell', 'atk': 200, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Dreamseeker', 'price': 82574, 'rarity': 2, 'type': 'Beer', 'atk': 0, 'def': 0, 'hp_regen': 18}, {'id': 4, 'item_name': 'Wooden Sword', 'price': 58097, 'rarity': 5, 'type': 'Bow', 'atk': 247, 'def': 0, 'hp_regen': 0}]"
62,akingaby1p,Blade Dancer,46,92,"[{'id': 1, 'item_name': 'Slasher', 'price': 129545, 'rarity': 5, 'type': 'Cape', 'atk': 0, 'def': 120, 'hp_regen': 0}, {'id': 2, 'item_name': 'Rain of Revival', 'price': 96131, 'rarity': 3, 'type': 'Beer', 'atk': 0, 'def': 0, 'hp_regen': 17}, {'id': 3, 'item_name': 'Barrier Sphere', 'price': 86443, 'rarity': 5, 'type': 'Boots', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 4, 'item_name': 'Stone Arm', 'price': 196708, 'rarity': 2, 'type': 'Bow', 'atk': 76, 'def': 0, 'hp_regen': 0}, {'id': 5, 'item_name': 'Inferno', 'price': 47280, 'rarity': 5, 'type': 'Gem', 'atk': 0, 'def': 0, 'hp_regen': 0}]"
63,rmaccolm1q,Necromancer,50,253,"[{'id': 1, 'item_name': 'Stone Arm', 'price': 87165, 'rarity': 5, 'type': 'Key', 'atk': 0, 'def': 0, 'hp_regen': 0}, {'id': 2, 'item_name': 'Paralyzing of Rituals', 'price': 253387, 'rarity': 4, 'type': 'Pizza', 'atk': 0, 'def': 0, 'hp_regen': 95}]"
64,ggriffen1r,Warrior,29,37,"[{'id': 1, 'item_name': 'Mage Barrage', 'price': 23393, 'rarity': 1, 'type': 'Shield', 'atk': 0, 'def': 74, 'hp_regen': 0}, {'id': 2, 'item_name': 'Inferno', 'price': 136926, 'rarity': 2, 'type': 'Bow', 'atk': 40, 'def': 0, 'hp_regen': 0}, {'id': 3, 'item_name': 'Stone Arm', 'price': 248067, 'rarity': 4, 'type': 'Sword', 'atk': 116, 'def': 0, 'hp_regen': 0}, {'id': 4, 'item_name': 'Extinguish', 'price': 63003, 'rarity': 1, 'type': 'Cape', 'atk': 0, 'def': 163, 'hp_regen': 0}, {'id': 5, 'item_name': 'Lapis', 'price': 231140, 'rarity': 2, 'type': 'Pizza', 'atk': 0, 'def': 0, 'hp_regen': 183}]"
